ID	SPA	SPA
202	Debo visitar Myanmar.	MYANMAR YO VISITAR DEBER
410	El gobierno no autorizó la ley ciudadana.	LEY CIUDADANA GOBIERNO NO AUTORIZAR
179	Hoy conocí una nueva librería.	HOY NUEVA LIBRERÍA YO CONOCER
591	Mete los cuadernos dentro de la mochila.	MOCHILA DENTRO CUADERNO METER
943	A mi mamá le gusta el orden en casa.	CASA ORDEN MI MAMÁ GUSTAR
174	No sé tu dirección.	TUYO DIRECCIÓN YO NO-SABER
336	En el mercado Sonora hay surtido de dulces.	SONORA MERCADO SURTIDO DULCE HAY
398	Así es mi carácter.	MI CARÁCTER ASÍ
396	Hoy hay una exposición de arte en el Zócalo a las dos de la tarde.	HOY DOS TARDE ZÓCALO EXPOSICIÓN ARTE HAY
413	Ayer fui con mi prima Estela a una fiesta de mi trabajo.	AYER MI TRABAJO FIESTA MI dm-ESTELA PRIMO+MUJER YO IR
47	Este año aumentarán las ganancias en la tienda.	ESTE AÑO TIENDA GANANCIA FUTURO AUMENTAR
936	Yo viajé a Oaxtepec.	OAXTEPEC YO VIAJAR YA
515	Todavía no voy a la escuela.	TODAVÍA ESCUELA YO NO IR
585	Pegar una hoja blanca en el cuaderno.	CUADERNO HOJA BLANCA PEGAR
684	Hoy fui a mi práctica de tiro.	HOY PRÁCTICA-DE-TIRO YO IR
155	María empujó a su hermano.	SU HERMANO dm-MARÍA EMPUJAR YA
484	A mi abuelo lo operaron del corazón.	MI ABUELO CORAZÓN YA OPERAR
58	La ballena es uno de los animales más grandes.	BALLENA ANIMAL GRANDE GRANDE
632	Vi la película de Superman el sábado pasado.	SÁBADO-PASADO PELÍCULA dm-SUPERMAN YO VER
160	Joel estudió en España.	ESPAÑA dm-JOEL YA ESTUDIAR
237	¿Qué haces?	¿TÚ HACER QUÉ?
44	Jazmín y Rocío asaron el pollo.	POLLO dm-JAZMÍN dm-ROCÍO YA ASAR
480	Tienes que pagar la colegiatura de manera mensual.	MENSUAL COLEGIATURA TÚ PAGAR DEBER
487	Ve a comprar pan.	PAN COMPRAR IR
90	Brasil es famoso por sus carnavales.	BRASIL CARNAVAL FAMOSO
902	Viven muchos animales en Chapultepec.	CHAPULTEPEC MUCHO ANIMAL VIVIR
45	Ramiro es muy astuto.	dm-RAMIRO ASTUTO
226	Jorge comió dos quesadillas de queso.	DOS QUESADILLA QUESO dm-JORGE YA COMER
742	Yo tengo tres amigas que son lesbianas.	TRES AMIGO+MUJER LESBIANA YO TENER
129	Corea del Norte es muy famosa en las noticias.	NOTICIAS COREA-DEL-NORTE FAMOSO
332	Reunión es una isla que pertenece a Francia.	REUNIÓN ISLA FRANCIA PERTENECER
9	Ana abraza a Juan porque lo extraña mucho.	dm-JUAN dm-ANA ABRAZAR PORQUE MUCHO EXTRAÑAR
283	Hoy voy a ir a pasear al bosque.	HOY BOSQUE YO PASEAR
351	Me estoy exprimiendo un barro.	MI BARRO YO EXPRIMIR
49	Se entregaron los avances del quinto semestre.	AVANCE QUINTO SEMESTRE YA ENTREGAR
500	El fin de semana nos casamos por el civil.	FIN-DE-SEMANA CIVIL NOSOTROS FUTURO CASAR
546	Siempre dices chismes.	DIARIO CHISME TÚ DECIR
933	Usaré un vestido nuevo en tu fiesta.	FUTURO TUYO FIESTA VESTIDO NUEVO YO USAR
116	Compartir es un valor muy importante.	COMPARTIR VALOR IMPORTANTE
645	La ventana es blanca.	VENTANA COLOR BLANCO
23	Alabo a Cristo.	CRISTO YO ALABAR
364	El cumpleaños de mi suegra es en agosto.	AGOSTO MI SUEGRA CUMPLEAÑOS
805	Minerva casi se ahoga en el mar.	MAR dm-MINERVA AHOGAR CASI
411	La avena es un cereal saludable.	AVENA CEREAL SALUDABLE
343	Qué lástima que hoy no te vas de viaje a Tijuana.	HOY TIJUANA TÚ NO VIAJAR LÁSTIMA
156	¿Entendiste todo?	¿TODO TÚ YA ENTENDER? SÍ NO
608	Tengo mucha familia en Salamanca.	SALAMANCA MUCHO FAMILIA YO TENER
313	En mi pueblo las personas cosechan maíz.	MI PUEBLO MAÍZ PERSONA COSECHAR
609	La maestra llegó tarde al salón.	TARDE SALÓN MAESTRO+MUJER YA LLEGAR
611	El domingo vamos al Sam’s a comprar cosas con la familia.	DOMINGO SAM'S FAMILIA NOSOTROS COSAS COMPRAR IR
300	El cocodrilo atrapó al venado, ¡pobre!	VENADO COCODRILO YA ATRAPAR ¡POBRE!
390	En Chapultepec hay muchas ardillas juguetonas.	CHAPULTEPEC MUCHO ARDILLA JUGUETONA HAY
774	Ese perro es muy sucio, siempre se hace pipí.	ESE PERRO SUCIO SIEMPRE PIPÍ HACER
103	Mi casa es humilde.	MI CASA HUMILDE
826	Yo iré después a la Cámara de Diputados.	DESPUÉS CÁMARA-DE-DIPUTADOS YO FUTURO IR
625	Explícame bien, pero de forma sencilla.	MI EXPLICAR BIEN PERO SENCILLO
380	El anciano me da consejos que yo obedezco.	CONSEJO ANCIANO YO DAR YO OBEDECER
118	Mi abuela me hizo una confesión ayer.	AYER YO CONFESIÓN MI ABUELO+MUJER HACER
929	Perdí la apuesta, ni modo.	APUESTA YO YA PERDER NI-MODO
722	Tu amigo siempre guiña el ojo.	SIEMPRE OJO TU AMIGO GUIÑAR
20	Oh, ya entiendo, gracias por explicarme.	YA ENTENDER EXPLICAR MI GRACIAS
837	Ayer mi mamá comió en Carl’s Jr.	AYER CARL'S-JR MI MAMÁ COMER
501	Los conejos se reproducen muy rápido.	CONEJO REPRODUCIR RAPIDO RAPIDO
912	Yo desayuno en la escuela diario.	DIARIO ESCUELA YO DESAYUNAR
552	Mañana expondré en la escuela sobre la Constitución.	MAÑANA ESCUELA CONSTITUCIÓN YO EXPONER
778	Mañana es mi cumpleaños, ojalá haya pastel.	MAÑANA MI CUMPLEAÑOS PASTEL HAY OJALÁ
584	En algunos ríos se puede usar lancha.	ALGUNOS RÍO LANCHA USAR PODER
847	¿Estudiaste para chef?	¿TÚ PARA CHEF YA ESTUDIAR? SÍ NO
851	El cielo está nublado	CIELO NUBLADO
471	Laura lava la ropa cada semana.	SEMANA CADA ROPA dm-LAURA LAVAR
637	El tenis es el deporte blanco.	TENIS DEPORTE COLOR BLANCO
477	Los luchadores usan máscara.	MÁSCARA LUCHADOR USAR
724	Ya estoy harto de tanto trabajo.	YA MUCHO TRABAJO YO HARTO
11	Abre tu mente para entender este tema difícil.	TUYO MENTE ABRIR ESTE TEMA DIFÍCIL ENTENDER
197	En vacaciones visitaré la ciudad de Montreal.	VACACIONES MONTREAL CIUDAD YO FUTURO VISITAR
934	Pepe fue de vacaciones a Nuevo León.	NUEVO LEÓN dm-PEPE VACACIONES YA IR
232	La sopa de codito es mi favorita.	SOPA CODITO MI FAVORITO
569	Los helados de la Michoacana son muy famosos.	MICHOACANA HELADO FAMOSO
183	Ayer comí pan con mermelada de fresa.	AYER PAN CON MERMELADA FRESA YO COMER
198	Mi abuelo murió hace cinco años.	5 AÑO-PASADO MI ABUELO MORIR
860	La comida de Colombia es muy sabrosa.	COMIDA COLOMBIA SABROSA
780	El pico se usa para poder extraer oro.	PICO USAR ORO PODER EXTRAER
296	Casi nos caemos de la bicicleta.	BICICLETA NOSOTROS CASI CAER
48	En la ausencia de la maestra, los alumnos se salieron del salón.	MAESTRO+MUJER AUSENCIA SALÓN ALUMNO YA SALIR
482	La mesa de mi mamá es de madera.	MI MAMÁ MESA MADERA
214	Martín compró papel de baño.	PAPEL-DE-BAÑO dm-MARTÍN YA COMPRAR
864	Raúl es el compadre de mi papá.	dm-RAÚL MI PAPÁ COMPADRE
858	Yo pongo dos cobijas sobre mi cama.	MI CAMA SOBRE DOS COBIJA YO PONER
718	Ya conozco Guadalajara, es una ciudad bonita.	GUADALAJARA YO YA CONOCER CIUDAD BONITA
68	No debes seguir de travieso, ya basta.	TÚ TRAVIESO SEGUIR NO DEBER YA BASTA
816	¡Mis botas me gustan mucho!	¡MI BOTA YO GUSTAR MUCHO!
730	Yo fui a Inglaterra.	INGLATERRA YO YA IR
842	Los niños traen el certificado de la escuela.	ESCUELA CERTIFICADO NIÑO TRAER
531	El próximo año viajaré a Europa.	PRÓXIMO AÑO EUROPA YO VIAJAR
508	Yo estoy en sexto año de primaria y me gusta.	SEXTO AÑO PRIMARIA YO GUSTAR
683	Los árboles están disminuyendo en la Ciudad de México.	CIUDAD-MÉXICO ÁRBOL DISMINUIR
285	Me gusta mucho bucear.	BUCEAR YO MUCHO GUSTAR
892	El estadio está abarrotado.	ESTADIO ABARROTADO
229	El señor Mario tiene una tienda.	TIENDA dm-MARIO TENER
286	Busco un libro, pero no lo encuentro.	LIBRO YO BUSCAR PERO NO ENCONTRAR
835	El papá de Alan tiene la cara delgada.	dm-ALAN PAPÁ CARA DELGADA
758	LSM significa Lengua de Señas Mexicana.	LSM LENGUA-DE-SEÑAS MÉXICO SIGNIFICAR
123	Mi papá trabaja en la construcción.	CONSTRUCCIÓN MI PAPÁ TRABAJAR
651	Tu amigo es muy amable.	TUYO AMIGO AMABLE
656	Los precios de este lugar han aumentado.	ESTE LUGAR PRECIO YA AUMENTAR
321	Me gusta mucho la jícama.	JÍCAMA YO GUSTAR MUCHO
299	Súbete a la montaña rusa, no seas cobarde.	MONTAÑA-RUSA SUBIR NO COBARDE
274	Mi deporte preferido es el baloncesto.	MI DEPORTE PREFERIDO BALONCESTO
786	Hace falta presupuesto para la educación.	EDUCACIÓN PRESUPUESTO FALTAR
142	Siéntate delante de mí.	MÍ DELANTE TÚ SENTAR
958	¡Mi abuelo es muy sabio!	¡MI ABUELO SABIO!
385	El Apocalipsis tiene muchos símbolos diferentes.	APOCALIPSIS MUCHO SÍMBOLO DIFERENTE TENER
186	El musulmán ora en la mezquita.	MEZQUITA MUSULMÁN ORAR
144	El dueño de la fábrica hizo varios despidos.	VARIO DESPIDO FÁBRICA DUEÑO YA HACER
46	Tengo un asunto pendiente.	ASUNTO PENDIENTE YO TENER
153	Hay muchos elefantes en África.	ÁFRICA MUCHO ELEFANTE HAY
458	Perdí el encendedor en la calle.	CALLE ENCENDEDOR YO YA PERDER
574	A todos nos gustan los helados.	HELADO TODOS GUSTAR
291	Yo no conozco Camboya, ¿y tú?	CAMBOYA YO NO-CONOCER ¿TÚ?
127	Convéncelo para ir a pasear.	ÉL PASEAR CONVENCER
366	En el autobús hay aire acondicionado.	AUTOBÚS AIRE-ACONDICIONADO HAY
241	Ya te acusé, vas a ver.	YA TÚ YO ACUSAR TÚ FUTURO VER
667	Tu coche es muy caro.	TUYO COCHE CARO
700	Yo compré un gel nuevo.	GEL NUEVO YO YA COMPRAR
491	Matar es un pecado.	MATAR PECADO
954	Si te portas bien, irás a la fiesta.	SI TÚ PORTAR BIEN FIESTA TÚ FUTURO IR
555	A Jesús, el único hijo de Dios, lo crucificaron.	JESÚS DIOS ÚNICO HIJO YA CRUCIFICAR
236	¡Guau! Su trabajo es en verdad muy importante.	¡GUAO! SU TRABAJO IMPORTANTE IMPORTANTE
434	En el metro hay muchos ciegos.	METRO MUCHO CIEGO HAY
813	¿Puedes cambiarme el billete?	¿BILLETE YO TÚ CAMBIAR PODER? SÍ NO
726	Los hot cakes son mi comida preferida.	HOT-CAKES MI COMIDA PREFERIDA
978	Los zapatos son negros.	ZAPATO COLOR NEGRO
745	Liberia es un país pobre.	LIBERIA PAÍS POBRE
764	Apaga la luz, por favor.	APAGAR LUZ POR-FAVOR
371	Antier fui al altar de una iglesia mormona.	ANTIER IGLESIA MORMONA ALTAR YO YA IR
221	El pingüino vive en la Antártida.	ANTÁRTIDA PINGÜINO VIVIR
873	Las próximas vacaciones viajaré a Cozumel.	PRÓXIMO VACACIONES COZUMEL YO FUTURO VIAJAR
440	La cocaína es una droga peligrosa.	COCAÍNA DROGA PELIGROSO
856	Ellos practican deportes en la Ciudad Deportiva.	CIUDAD DEPORTIVA DEPORTE ELLOS PRACTICAR
219	El pez globo vive en agua dulce.	AGUA DULCE PEZ GLOBO VIVIR
271	Hay una conferencia en el auditorio.	AUDITORIO CONFERENCIA HAY
159	A mamá le duele la espalda.	MAMÁ ESPALDA DOLER
426	Mi esposo y yo nos fuimos de luna de miel a Canadá.	CANADÁ DOS-DE-NOSOTROS LUNA-DE-MIEL YA IR
309	El niño copió en el examen y la maestra lo descubrió.	EXAMEN NIÑO COPIAR YA NIÑO MAESTRO+MUJER DESCUBRIR YA
185	Ella llega al trabajo en el metrobús.	TRABAJO METROBÚS ELLA LLEGAR
562	Hoy me voy de vacaciones a el Salvador.	HOY EL SALVADOR YO VACACIONES IR
772	Ella tiene trabajo de operadora telefónica.	TRABAJO OPERADOR-TELÉFONO+MUJER ELLA TENER
10	Abre la puerta, por favor.	PUERTA ABRIR POR-FAVOR
644	Uzbekistán tiene frontera al sur con Afganistán.	UZBEKISTÁN SUR AFGANISTÁN FRONTERA TENER
956	Debes decir la verdad, nada de pretextos.	VERDAD DECIR DEBER PRETEXTO NADA
535	A mi hijo le regalaron una bicicleta en su cumpleaños.	SU CUMPLEAÑOS BICICLETA MI HIJO YA REGALAR
278	Debes ponerte bloqueador solar para estar tranquilo.	BLOQUEADOR-SOLAR TÚ PONER DEBER PARA TRANQUILO
320	Te espero allá afuera.	AFUERA TÚ YO ESPERAR
120	Confío en que todo estará bien.	TODO FUTURO BIEN YO CONFIAR
736	En Latinoamérica hay ciudades en verdad bonitas.	LATINOAMÉRICA CIUDAD BONITO HAY
